species,park,observations
Epilobium glaberrimum ssp. glaberrimum,Yellowstone National Park,251
Sorbus sitchensis var. grayi,Great Smoky Mountains National Park,95
Sorbus sitchensis var. grayi,Yosemite National Park,153
Sorbus sitchensis var. grayi,Bryce National Park,96
Sorbus sitchensis var. grayi,Yellowstone National Park,272
Plantago major,Great Smoky Mountains National Park,180
Plantago major,Yosemite National Park,270
Plantago major,Bryce National Park,167
Plantago major,Yellowstone National Park,511
Valeriana occidentalis,Great Smoky Mountains National Park,43
Valeriana occidentalis,Yosemite National Park,154
Valeriana occidentalis,Bryce National Park,83
Valeriana occidentalis,Yellowstone National Park,264
Mimulus moschatus,Great Smoky Mountains National Park,73
Mimulus moschatus,Yosemite National Park,139
Mimulus moschatus,Bryce National Park,118
Mimulus moschatus,Yellowstone National Park,252
Hoita macrostachya,Great Smoky Mountains National Park,84
Hoita macrostachya,Yosemite National Park,187
Hoita macrostachya,Bryce National Park,130
Hoita macrostachya,Yellowstone National Park,263
Polytrichum piliferum,Great Smoky Mountains National Park,34
Polytrichum piliferum,Yosemite National Park,124
Polytrichum piliferum,Bryce National Park,110
Polytrichum piliferum,Yellowstone National Park,243
Notropis volucellus,Great Smoky Mountains National Park,63
Notropis volucellus,Yosemite National Park,166
Notropis volucellus,Bryce National Park,69
Notropis volucellus,Yellowstone National Park,249
Artemisia vulgaris,Great Smoky Mountains National Park,86
Artemisia vulgaris,Yosemite National Park,121
Artemisia vulgaris,Bryce National Park,122
Artemisia vulgaris,Yellowstone National Park,264
Smilax tamnoides,Great Smoky Mountains National Park,78
Smilax tamnoides,Yosemite National Park,132
Smilax tamnoides,Bryce National Park,130
Smilax tamnoides,Yellowstone National Park,228
Erigeron compactus,Great Smoky Mountains National Park,80
Erigeron compactus,Yosemite National Park,148
Erigeron compactus,Bryce National Park,97
Erigeron compactus,Yellowstone National Park,233
Clarkia purpurea ssp. viminea,Great Smoky Mountains National Park,64
Clarkia purpurea ssp. viminea,Yosemite National Park,157
Clarkia purpurea ssp. viminea,Bryce National Park,109
Clarkia purpurea ssp. viminea,Yellowstone National Park,282
Carex stipata var. stipata,Great Smoky Mountains National Park,60
Carex stipata var. stipata,Yosemite National Park,174
Carex stipata var. stipata,Bryce National Park,96
Carex stipata var. stipata,Yellowstone National Park,270
Tortella humilis,Great Smoky Mountains National Park,62
Tortella humilis,Yosemite National Park,134
Tortella humilis,Bryce National Park,54
Tortella humilis,Yellowstone National Park,238
Liriodendron tulipifera,Great Smoky Mountains National Park,75
Liriodendron tulipifera,Yosemite National Park,148
Liriodendron tulipifera,Bryce National Park,103
Liriodendron tulipifera,Yellowstone National Park,226
Sanicula bipinnatifida,Great Smoky Mountains National Park,74
Sanicula bipinnatifida,Yosemite National Park,117
Sanicula bipinnatifida,Bryce National Park,105
Sanicula bipinnatifida,Yellowstone National Park,256
Silene antirrhina,Great Smoky Mountains National Park,127
Silene antirrhina,Yosemite National Park,303
Silene antirrhina,Bryce National Park,221
Silene antirrhina,Yellowstone National Park,530
Packera werneriifolia,Great Smoky Mountains National Park,45
Packera werneriifolia,Yosemite National Park,159
Packera werneriifolia,Bryce National Park,93
Packera werneriifolia,Yellowstone National Park,233
Pinicola enucleator,Great Smoky Mountains National Park,65
Pinicola enucleator,Yosemite National Park,149
Pinicola enucleator,Bryce National Park,82
Pinicola enucleator,Yellowstone National Park,265
Potamogeton strictifolius,Great Smoky Mountains National Park,58
Potamogeton strictifolius,Yosemite National Park,179
Potamogeton strictifolius,Bryce National Park,95
Potamogeton strictifolius,Yellowstone National Park,263
Desmognathus wrighti,Great Smoky Mountains National Park,85
Desmognathus wrighti,Yosemite National Park,127
Desmognathus wrighti,Bryce National Park,95
Desmognathus wrighti,Yellowstone National Park,201
Bryum lisae,Great Smoky Mountains National Park,72
Bryum lisae,Yosemite National Park,142
Bryum lisae,Bryce National Park,155
Bryum lisae,Yellowstone National Park,232
Holosteum umbellatum,Great Smoky Mountains National Park,42
Holosteum umbellatum,Yosemite National Park,142
Holosteum umbellatum,Bryce National Park,76
Holosteum umbellatum,Yellowstone National Park,231
Lolium arundinaceum,Great Smoky Mountains National Park,88
Lolium arundinaceum,Yosemite National Park,146
Lolium arundinaceum,Bryce National Park,92
Lolium arundinaceum,Yellowstone National Park,247
Carex aggregata,Great Smoky Mountains National Park,78
Carex aggregata,Yosemite National Park,194
Carex aggregata,Bryce National Park,114
Carex aggregata,Yellowstone National Park,279
Anthus rubescens,Great Smoky Mountains National Park,201
Anthus rubescens,Yosemite National Park,309
Anthus rubescens,Bryce National Park,213
Anthus rubescens,Yellowstone National Park,478
Cirsium undulatum,Great Smoky Mountains National Park,84
Cirsium undulatum,Yosemite National Park,173
Cirsium undulatum,Bryce National Park,55
Cirsium undulatum,Yellowstone National Park,238
Helenium flexuosum,Great Smoky Mountains National Park,58
Helenium flexuosum,Yosemite National Park,133
Helenium flexuosum,Bryce National Park,74
Helenium flexuosum,Yellowstone National Park,252
Aythya affinis,Great Smoky Mountains National Park,115
Aythya affinis,Yosemite National Park,144
Aythya affinis,Bryce National Park,98
Aythya affinis,Yellowstone National Park,224
Tipularia discolor,Great Smoky Mountains National Park,79
Tipularia discolor,Yosemite National Park,152
Tipularia discolor,Bryce National Park,57
Tipularia discolor,Yellowstone National Park,277
Arenaria aculeata,Great Smoky Mountains National Park,68
Arenaria aculeata,Yosemite National Park,140
Arenaria aculeata,Bryce National Park,121
Arenaria aculeata,Yellowstone National Park,230
Juncus diffusissimus,Great Smoky Mountains National Park,45
Juncus diffusissimus,Yosemite National Park,167
Juncus diffusissimus,Bryce National Park,94
Juncus diffusissimus,Yellowstone National Park,245
Lutra canadensis,Great Smoky Mountains National Park,127
Lutra canadensis,Yosemite National Park,380
Lutra canadensis,Bryce National Park,218
Lutra canadensis,Yellowstone National Park,458
Phalaris arundinacea,Great Smoky Mountains National Park,123
Phalaris arundinacea,Yosemite National Park,277
Phalaris arundinacea,Bryce National Park,167
Phalaris arundinacea,Yellowstone National Park,451
Antennaria argentea,Great Smoky Mountains National Park,53
Antennaria argentea,Yosemite National Park,148
Antennaria argentea,Bryce National Park,84
Antennaria argentea,Yellowstone National Park,249
Sorex monticolus,Great Smoky Mountains National Park,107
Sorex monticolus,Yosemite National Park,302
Sorex monticolus,Bryce National Park,220
Sorex monticolus,Yellowstone National Park,520
Mimus polyglottos,Great Smoky Mountains National Park,200
Mimus polyglottos,Yosemite National Park,292
Mimus polyglottos,Bryce National Park,209
Mimus polyglottos,Yellowstone National Park,517
Panicum gattingeri,Great Smoky Mountains National Park,94
Panicum gattingeri,Yosemite National Park,172
Panicum gattingeri,Bryce National Park,82
Panicum gattingeri,Yellowstone National Park,290
Orobanche uniflora,Great Smoky Mountains National Park,153
Orobanche uniflora,Yosemite National Park,373
Orobanche uniflora,Bryce National Park,196
Orobanche uniflora,Yellowstone National Park,498
Nycticeius humeralis,Great Smoky Mountains National Park,84
Nycticeius humeralis,Yosemite National Park,149
Nycticeius humeralis,Bryce National Park,110
Nycticeius humeralis,Yellowstone National Park,219
Zonotrichia leucophrys,Great Smoky Mountains National Park,95
Zonotrichia leucophrys,Yosemite National Park,123
Zonotrichia leucophrys,Bryce National Park,99
Zonotrichia leucophrys,Yellowstone National Park,239
Oxalis montana,Great Smoky Mountains National Park,47
Oxalis montana,Yosemite National Park,161
Oxalis montana,Bryce National Park,72
Oxalis montana,Yellowstone National Park,231
Salvelinus namaycush,Great Smoky Mountains National Park,86
Salvelinus namaycush,Yosemite National Park,166
Salvelinus namaycush,Bryce National Park,76
Salvelinus namaycush,Yellowstone National Park,270
Bryum lisae var. cuspidatum,Great Smoky Mountains National Park,72
Bryum lisae var. cuspidatum,Yosemite National Park,155
Bryum lisae var. cuspidatum,Bryce National Park,112
Bryum lisae var. cuspidatum,Yellowstone National Park,228
Mimulus angustatus,Great Smoky Mountains National Park,52
Mimulus angustatus,Yosemite National Park,146
Mimulus angustatus,Bryce National Park,95
Mimulus angustatus,Yellowstone National Park,227
Thermopsis montana,Great Smoky Mountains National Park,68
Thermopsis montana,Yosemite National Park,152
Thermopsis montana,Bryce National Park,74
Thermopsis montana,Yellowstone National Park,261
Eleocharis palustris,Great Smoky Mountains National Park,124
Eleocharis palustris,Yosemite National Park,299
Eleocharis palustris,Bryce National Park,183
Eleocharis palustris,Yellowstone National Park,518
Oxalis corniculata,Great Smoky Mountains National Park,164
Oxalis corniculata,Yosemite National Park,317
Oxalis corniculata,Bryce National Park,174
Oxalis corniculata,Yellowstone National Park,472
Hypericum mitchellianum,Great Smoky Mountains National Park,56
Hypericum mitchellianum,Yosemite National Park,129
Hypericum mitchellianum,Bryce National Park,49
Hypericum mitchellianum,Yellowstone National Park,276
Senecio fremontii var. fremontii,Great Smoky Mountains National Park,45
Senecio fremontii var. fremontii,Yosemite National Park,114
Senecio fremontii var. fremontii,Bryce National Park,105
Senecio fremontii var. fremontii,Yellowstone National Park,247
Rudbeckia laciniata var. humilis,Great Smoky Mountains National Park,69
Rudbeckia laciniata var. humilis,Yosemite National Park,152
Rudbeckia laciniata var. humilis,Bryce National Park,102
Rudbeckia laciniata var. humilis,Yellowstone National Park,233
Nucifraga columbiana,Great Smoky Mountains National Park,89
Nucifraga columbiana,Yosemite National Park,155
Nucifraga columbiana,Bryce National Park,117
Nucifraga columbiana,Yellowstone National Park,240
Contopus cooperi,Great Smoky Mountains National Park,40
Contopus cooperi,Yosemite National Park,150
Contopus cooperi,Bryce National Park,130
Contopus cooperi,Yellowstone National Park,243
Carex tahoensis,Great Smoky Mountains National Park,95
Carex tahoensis,Yosemite National Park,149
Carex tahoensis,Bryce National Park,124
Carex tahoensis,Yellowstone National Park,285
Bryoandersonia illecebra,Great Smoky Mountains National Park,65
Bryoandersonia illecebra,Yosemite National Park,114
Bryoandersonia illecebra,Bryce National Park,93
Bryoandersonia illecebra,Yellowstone National Park,271
Polygonatum biflorum var. biflorum,Great Smoky Mountains National Park,62
Polygonatum biflorum var. biflorum,Yosemite National Park,140
Polygonatum biflorum var. biflorum,Bryce National Park,67
Polygonatum biflorum var. biflorum,Yellowstone National Park,273
Dodecatheon jeffreyi,Great Smoky Mountains National Park,61
Dodecatheon jeffreyi,Yosemite National Park,128
Dodecatheon jeffreyi,Bryce National Park,118
Dodecatheon jeffreyi,Yellowstone National Park,225
Leersia virginica,Great Smoky Mountains National Park,61
Leersia virginica,Yosemite National Park,185
Leersia virginica,Bryce National Park,93
Leersia virginica,Yellowstone National Park,256
Polygonum douglasii ssp. douglasii,Great Smoky Mountains National Park,58
Polygonum douglasii ssp. douglasii,Yosemite National Park,155
Polygonum douglasii ssp. douglasii,Bryce National Park,89
Polygonum douglasii ssp. douglasii,Yellowstone National Park,246
Montia chamissoi,Great Smoky Mountains National Park,86
Montia chamissoi,Yosemite National Park,140
Montia chamissoi,Bryce National Park,109
Montia chamissoi,Yellowstone National Park,226
Lysimachia ciliata,Great Smoky Mountains National Park,66
Lysimachia ciliata,Yosemite National Park,141
Lysimachia ciliata,Bryce National Park,80
Lysimachia ciliata,Yellowstone National Park,239
Turdus migratorius,Great Smoky Mountains National Park,69
Turdus migratorius,Yosemite National Park,123
Turdus migratorius,Bryce National Park,118
Turdus migratorius,Yellowstone National Park,250
Urocitellus beldingi,Great Smoky Mountains National Park,112
Urocitellus beldingi,Yosemite National Park,157
Urocitellus beldingi,Bryce National Park,131
Urocitellus beldingi,Yellowstone National Park,244
Trifolium cyathiferum,Great Smoky Mountains National Park,55
Trifolium cyathiferum,Yosemite National Park,159
Trifolium cyathiferum,Bryce National Park,128
Trifolium cyathiferum,Yellowstone National Park,258
Carex davyi,Great Smoky Mountains National Park,67
Carex davyi,Yosemite National Park,149
Carex davyi,Bryce National Park,88
Carex davyi,Yellowstone National Park,201
Mirabilis linearis,Great Smoky Mountains National Park,76
Mirabilis linearis,Yosemite National Park,139
Mirabilis linearis,Bryce National Park,92
Mirabilis linearis,Yellowstone National Park,265
Viburnum rafinesquianum,Great Smoky Mountains National Park,120
Viburnum rafinesquianum,Yosemite National Park,166
Viburnum rafinesquianum,Bryce National Park,97
Viburnum rafinesquianum,Yellowstone National Park,273
Plethodon aureolus,Great Smoky Mountains National Park,69
Plethodon aureolus,Yosemite National Park,125
Plethodon aureolus,Bryce National Park,90
Plethodon aureolus,Yellowstone National Park,276
Astragalus crassicarpus var. paysonii,Great Smoky Mountains National Park,45
Astragalus crassicarpus var. paysonii,Yosemite National Park,167
Astragalus crassicarpus var. paysonii,Bryce National Park,85
Astragalus crassicarpus var. paysonii,Yellowstone National Park,257
Cinna arundinacea,Great Smoky Mountains National Park,70
Cinna arundinacea,Yosemite National Park,158
Cinna arundinacea,Bryce National Park,94
Cinna arundinacea,Yellowstone National Park,252
Bidens vulgata,Great Smoky Mountains National Park,50
Bidens vulgata,Yosemite National Park,149
Bidens vulgata,Bryce National Park,102
Bidens vulgata,Yellowstone National Park,297
Digitaria sanguinalis,Great Smoky Mountains National Park,147
Digitaria sanguinalis,Yosemite National Park,281
Digitaria sanguinalis,Bryce National Park,209
Digitaria sanguinalis,Yellowstone National Park,489
Hymenocallis caroliniana,Great Smoky Mountains National Park,42
Hymenocallis caroliniana,Yosemite National Park,149
Hymenocallis caroliniana,Bryce National Park,90
Hymenocallis caroliniana,Yellowstone National Park,267
Danthonia unispicata,Great Smoky Mountains National Park,74
Danthonia unispicata,Yosemite National Park,146
Danthonia unispicata,Bryce National Park,87
Danthonia unispicata,Yellowstone National Park,271
Echinochloa crus-galli,Great Smoky Mountains National Park,124
Echinochloa crus-galli,Yosemite National Park,331
Echinochloa crus-galli,Bryce National Park,228
Echinochloa crus-galli,Yellowstone National Park,489
Collinsonia verticillata,Great Smoky Mountains National Park,50
Collinsonia verticillata,Yosemite National Park,126
Collinsonia verticillata,Bryce National Park,90
Collinsonia verticillata,Yellowstone National Park,223
Microseris nutans,Great Smoky Mountains National Park,79
Microseris nutans,Yosemite National Park,155
Microseris nutans,Bryce National Park,97
Microseris nutans,Yellowstone National Park,270
Rana pipiens,Great Smoky Mountains National Park,62
Rana pipiens,Yosemite National Park,136
Rana pipiens,Bryce National Park,92
Rana pipiens,Yellowstone National Park,263
Salix eriocephala,Great Smoky Mountains National Park,91
Salix eriocephala,Yosemite National Park,155
Salix eriocephala,Bryce National Park,74
Salix eriocephala,Yellowstone National Park,220
Agrostis gigantea,Great Smoky Mountains National Park,150
Agrostis gigantea,Yosemite National Park,276
Agrostis gigantea,Bryce National Park,220
Agrostis gigantea,Yellowstone National Park,488
Chaenactis douglasii var. douglasii,Great Smoky Mountains National Park,76
Chaenactis douglasii var. douglasii,Yosemite National Park,131
Chaenactis douglasii var. douglasii,Bryce National Park,143
Chaenactis douglasii var. douglasii,Yellowstone National Park,291
Eupatorium pilosum,Great Smoky Mountains National Park,66
Eupatorium pilosum,Yosemite National Park,140
Eupatorium pilosum,Bryce National Park,50
Eupatorium pilosum,Yellowstone National Park,232
Carex tompkinsii,Great Smoky Mountains National Park,73
Carex tompkinsii,Yosemite National Park,149
Carex tompkinsii,Bryce National Park,126
Carex tompkinsii,Yellowstone National Park,240
Descurainia sophia,Great Smoky Mountains National Park,61
Descurainia sophia,Yosemite National Park,130
Descurainia sophia,Bryce National Park,78
Descurainia sophia,Yellowstone National Park,219
Carex phaeocephala,Great Smoky Mountains National Park,46
Carex phaeocephala,Yosemite National Park,134
Carex phaeocephala,Bryce National Park,114
Carex phaeocephala,Yellowstone National Park,215
Thlaspi arvense,Great Smoky Mountains National Park,144
Thlaspi arvense,Yosemite National Park,293
Thlaspi arvense,Bryce National Park,165
Thlaspi arvense,Yellowstone National Park,529
Phacelia cicutaria var. cicutaria,Great Smoky Mountains National Park,90
Phacelia cicutaria var. cicutaria,Yosemite National Park,165
Phacelia cicutaria var. cicutaria,Bryce National Park,136
Phacelia cicutaria var. cicutaria,Yellowstone National Park,269
Anas acuta,Great Smoky Mountains National Park,61
Anas acuta,Yosemite National Park,105
Anas acuta,Bryce National Park,86
Anas acuta,Yellowstone National Park,248
Juglans nigra,Great Smoky Mountains National Park,59
Juglans nigra,Yosemite National Park,157
Juglans nigra,Bryce National Park,101
Juglans nigra,Yellowstone National Park,238
Astragalus kentrophyta var. tegetarius,Great Smoky Mountains National Park,57
Astragalus kentrophyta var. tegetarius,Yosemite National Park,148
Astragalus kentrophyta var. tegetarius,Bryce National Park,72
Astragalus kentrophyta var. tegetarius,Yellowstone National Park,259
Eleocharis quadrangulata,Great Smoky Mountains National Park,110
Eleocharis quadrangulata,Yosemite National Park,169
Eleocharis quadrangulata,Bryce National Park,108
Eleocharis quadrangulata,Yellowstone National Park,243
Peromyscus truei,Great Smoky Mountains National Park,85
Peromyscus truei,Yosemite National Park,126
Peromyscus truei,Bryce National Park,83
Peromyscus truei,Yellowstone National Park,291
Carex cherokeensis,Great Smoky Mountains National Park,39
Carex cherokeensis,Yosemite National Park,163
Carex cherokeensis,Bryce National Park,119
Carex cherokeensis,Yellowstone National Park,291
Quercus palustris,Great Smoky Mountains National Park,100
Quercus palustris,Yosemite National Park,167
Quercus palustris,Bryce National Park,117
Quercus palustris,Yellowstone National Park,240
Potamogeton foliosus var. foliosus,Great Smoky Mountains National Park,68
Potamogeton foliosus var. foliosus,Yosemite National Park,176
Potamogeton foliosus var. foliosus,Bryce National Park,89
Potamogeton foliosus var. foliosus,Yellowstone National Park,289
Lanius excubitor,Great Smoky Mountains National Park,141
Lanius excubitor,Yosemite National Park,326
Lanius excubitor,Bryce National Park,173
Lanius excubitor,Yellowstone National Park,448
Lotus crassifolius var. crassifolius,Great Smoky Mountains National Park,77
Lotus crassifolius var. crassifolius,Yosemite National Park,171
Lotus crassifolius var. crassifolius,Bryce National Park,90
Lotus crassifolius var. crassifolius,Yellowstone National Park,286
Bromus japonicus,Great Smoky Mountains National Park,178
Bromus japonicus,Yosemite National Park,328
Bromus japonicus,Bryce National Park,155
Bromus japonicus,Yellowstone National Park,491
Andropogon virginicus,Great Smoky Mountains National Park,67
Andropogon virginicus,Yosemite National Park,147
Andropogon virginicus,Bryce National Park,52
Andropogon virginicus,Yellowstone National Park,224
Matricaria discoidea,Great Smoky Mountains National Park,87
Matricaria discoidea,Yosemite National Park,108
Matricaria discoidea,Bryce National Park,69
Matricaria discoidea,Yellowstone National Park,232
Peromyscus californicus,Great Smoky Mountains National Park,79
Peromyscus californicus,Yosemite National Park,133
Peromyscus californicus,Bryce National Park,101
Peromyscus californicus,Yellowstone National Park,276
Linanthus filipes,Great Smoky Mountains National Park,74
Linanthus filipes,Yosemite National Park,146
Linanthus filipes,Bryce National Park,98
Linanthus filipes,Yellowstone National Park,264
Quercus chrysolepis,Great Smoky Mountains National Park,74
Quercus chrysolepis,Yosemite National Park,148
Quercus chrysolepis,Bryce National Park,86
Quercus chrysolepis,Yellowstone National Park,202
Antennaria neglecta,Great Smoky Mountains National Park,85
Antennaria neglecta,Yosemite National Park,150
Antennaria neglecta,Bryce National Park,113
Antennaria neglecta,Yellowstone National Park,221
Oreothlypis peregrina,Great Smoky Mountains National Park,81
Oreothlypis peregrina,Yosemite National Park,164
Oreothlypis peregrina,Bryce National Park,71
Oreothlypis peregrina,Yellowstone National Park,250
Plethodon,Great Smoky Mountains National Park,101
Plethodon,Yosemite National Park,140
Plethodon,Bryce National Park,102
Plethodon,Yellowstone National Park,250
Scutellaria ovata,Great Smoky Mountains National Park,89
Scutellaria ovata,Yosemite National Park,126
Scutellaria ovata,Bryce National Park,100
Scutellaria ovata,Yellowstone National Park,210
Carex complanata,Great Smoky Mountains National Park,34
Carex complanata,Yosemite National Park,139
Carex complanata,Bryce National Park,91
Carex complanata,Yellowstone National Park,249
Ribes oxyacanthoides var. setosum,Great Smoky Mountains National Park,87
Ribes oxyacanthoides var. setosum,Yosemite National Park,135
Ribes oxyacanthoides var. setosum,Bryce National Park,133
Ribes oxyacanthoides var. setosum,Yellowstone National Park,227
Linnaea borealis,Great Smoky Mountains National Park,95
Linnaea borealis,Yosemite National Park,93
Linnaea borealis,Bryce National Park,77
Linnaea borealis,Yellowstone National Park,245
Drosera anglica,Great Smoky Mountains National Park,100
Drosera anglica,Yosemite National Park,134
Drosera anglica,Bryce National Park,102
Drosera anglica,Yellowstone National Park,257
Dendroica petechia,Great Smoky Mountains National Park,93
Dendroica petechia,Yosemite National Park,136
Dendroica petechia,Bryce National Park,75
Dendroica petechia,Yellowstone National Park,220
Rana sierrae,Great Smoky Mountains National Park,11
Rana sierrae,Yosemite National Park,42
Rana sierrae,Bryce National Park,31
Rana sierrae,Yellowstone National Park,60
Sitta carolinensis,Great Smoky Mountains National Park,66
Sitta carolinensis,Yosemite National Park,146
Sitta carolinensis,Bryce National Park,73
Sitta carolinensis,Yellowstone National Park,267
Spinus lawrencei,Great Smoky Mountains National Park,105
Spinus lawrencei,Yosemite National Park,170
Spinus lawrencei,Bryce National Park,111
Spinus lawrencei,Yellowstone National Park,305
Lilium grayi,Great Smoky Mountains National Park,89
Lilium grayi,Yosemite National Park,130
Lilium grayi,Bryce National Park,71
Lilium grayi,Yellowstone National Park,225
Carex stenoptila,Great Smoky Mountains National Park,53
Carex stenoptila,Yosemite National Park,137
Carex stenoptila,Bryce National Park,112
Carex stenoptila,Yellowstone National Park,251
Anthemis tinctoria,Great Smoky Mountains National Park,79
Anthemis tinctoria,Yosemite National Park,139
Anthemis tinctoria,Bryce National Park,116
Anthemis tinctoria,Yellowstone National Park,270
Paeonia brownii,Great Smoky Mountains National Park,62
Paeonia brownii,Yosemite National Park,112
Paeonia brownii,Bryce National Park,82
Paeonia brownii,Yellowstone National Park,263
Dendroica pensylvanica,Great Smoky Mountains National Park,88
Dendroica pensylvanica,Yosemite National Park,171
Dendroica pensylvanica,Bryce National Park,137
Dendroica pensylvanica,Yellowstone National Park,247
Gila atraria,Great Smoky Mountains National Park,90
Gila atraria,Yosemite National Park,142
Gila atraria,Bryce National Park,84
Gila atraria,Yellowstone National Park,296
Sedum pulchellum,Great Smoky Mountains National Park,59
Sedum pulchellum,Yosemite National Park,184
Sedum pulchellum,Bryce National Park,109
Sedum pulchellum,Yellowstone National Park,236
Anaxyrus canorus,Great Smoky Mountains National Park,30
Anaxyrus canorus,Yosemite National Park,87
Anaxyrus canorus,Bryce National Park,43
Anaxyrus canorus,Yellowstone National Park,114
Hemerocallis lilioasphodelus,Great Smoky Mountains National Park,57
Hemerocallis lilioasphodelus,Yosemite National Park,154
Hemerocallis lilioasphodelus,Bryce National Park,136
Hemerocallis lilioasphodelus,Yellowstone National Park,243
Eurhynchium hians,Great Smoky Mountains National Park,46
Eurhynchium hians,Yosemite National Park,165
Eurhynchium hians,Bryce National Park,112
Eurhynchium hians,Yellowstone National Park,244
Juniperus occidentalis,Great Smoky Mountains National Park,71
Juniperus occidentalis,Yosemite National Park,161
Juniperus occidentalis,Bryce National Park,76
Juniperus occidentalis,Yellowstone National Park,245
Cynoglossum grande,Great Smoky Mountains National Park,87
Cynoglossum grande,Yosemite National Park,131
Cynoglossum grande,Bryce National Park,90
Cynoglossum grande,Yellowstone National Park,233
Eupatorium rugosum,Great Smoky Mountains National Park,77
Eupatorium rugosum,Yosemite National Park,136
Eupatorium rugosum,Bryce National Park,96
Eupatorium rugosum,Yellowstone National Park,247
Crepis intermedia,Great Smoky Mountains National Park,59
Crepis intermedia,Yosemite National Park,117
Crepis intermedia,Bryce National Park,103
Crepis intermedia,Yellowstone National Park,229
Populus balsamifera ssp. balsamifera,Great Smoky Mountains National Park,91
Populus balsamifera ssp. balsamifera,Yosemite National Park,146
Populus balsamifera ssp. balsamifera,Bryce National Park,93
Populus balsamifera ssp. balsamifera,Yellowstone National Park,255
Gypsophila paniculata,Great Smoky Mountains National Park,104
Gypsophila paniculata,Yosemite National Park,174
Gypsophila paniculata,Bryce National Park,71
Gypsophila paniculata,Yellowstone National Park,266
Agrostemma githago,Great Smoky Mountains National Park,134
Agrostemma githago,Yosemite National Park,186
Agrostemma githago,Bryce National Park,92
Agrostemma githago,Yellowstone National Park,260
Juniperus scopulorum,Great Smoky Mountains National Park,75
Juniperus scopulorum,Yosemite National Park,162
Juniperus scopulorum,Bryce National Park,111
Juniperus scopulorum,Yellowstone National Park,208
Erysimum asperum,Great Smoky Mountains National Park,90
Erysimum asperum,Yosemite National Park,112
Erysimum asperum,Bryce National Park,85
Erysimum asperum,Yellowstone National Park,224
Arctium minus,Great Smoky Mountains National Park,139
Arctium minus,Yosemite National Park,324
Arctium minus,Bryce National Park,208
Arctium minus,Yellowstone National Park,489
Carex amphibola,Great Smoky Mountains National Park,75
Carex amphibola,Yosemite National Park,141
Carex amphibola,Bryce National Park,81
Carex amphibola,Yellowstone National Park,250
Youngia japonica,Great Smoky Mountains National Park,68
Youngia japonica,Yosemite National Park,149
Youngia japonica,Bryce National Park,89
Youngia japonica,Yellowstone National Park,251
Scirpus expansus,Great Smoky Mountains National Park,125
Scirpus expansus,Yosemite National Park,144
Scirpus expansus,Bryce National Park,72
Scirpus expansus,Yellowstone National Park,203
Bryohaplocladium microphyllum,Great Smoky Mountains National Park,74
Bryohaplocladium microphyllum,Yosemite National Park,166
Bryohaplocladium microphyllum,Bryce National Park,81
Bryohaplocladium microphyllum,Yellowstone National Park,249
Carex aestivalis,Great Smoky Mountains National Park,81
Carex aestivalis,Yosemite National Park,189
Carex aestivalis,Bryce National Park,115
Carex aestivalis,Yellowstone National Park,224
Spea intermontana,Great Smoky Mountains National Park,51
Spea intermontana,Yosemite National Park,144
Spea intermontana,Bryce National Park,60
Spea intermontana,Yellowstone National Park,273
Funaria hygrometrica,Great Smoky Mountains National Park,71
Funaria hygrometrica,Yosemite National Park,163
Funaria hygrometrica,Bryce National Park,73
Funaria hygrometrica,Yellowstone National Park,276
Tytonidae,Great Smoky Mountains National Park,107
Tytonidae,Yosemite National Park,156
Tytonidae,Bryce National Park,111
Tytonidae,Yellowstone National Park,238
Solanum xanti,Great Smoky Mountains National Park,80
Solanum xanti,Yosemite National Park,150
Solanum xanti,Bryce National Park,69
Solanum xanti,Yellowstone National Park,276
Claytonia megarhiza,Great Smoky Mountains National Park,104
Claytonia megarhiza,Yosemite National Park,167
Claytonia megarhiza,Bryce National Park,98
Claytonia megarhiza,Yellowstone National Park,245
Eriogonum wrightii var. trachygonum,Great Smoky Mountains National Park,79
Eriogonum wrightii var. trachygonum,Yosemite National Park,174
Eriogonum wrightii var. trachygonum,Bryce National Park,101
Eriogonum wrightii var. trachygonum,Yellowstone National Park,283
Ericameria nauseosa var. oreophila,Great Smoky Mountains National Park,33
Ericameria nauseosa var. oreophila,Yosemite National Park,128
Ericameria nauseosa var. oreophila,Bryce National Park,109
Ericameria nauseosa var. oreophila,Yellowstone National Park,279
Reithrodontomys humulis,Great Smoky Mountains National Park,34
Reithrodontomys humulis,Yosemite National Park,147
Reithrodontomys humulis,Bryce National Park,106
Reithrodontomys humulis,Yellowstone National Park,222
Malva parviflora,Great Smoky Mountains National Park,81
Malva parviflora,Yosemite National Park,140
Malva parviflora,Bryce National Park,83
Malva parviflora,Yellowstone National Park,270
Trichomanes intricatum,Great Smoky Mountains National Park,92
Trichomanes intricatum,Yosemite National Park,135
Trichomanes intricatum,Bryce National Park,99
Trichomanes intricatum,Yellowstone National Park,225
Perideridia howellii,Great Smoky Mountains National Park,68
Perideridia howellii,Yosemite National Park,126
Perideridia howellii,Bryce National Park,76
Perideridia howellii,Yellowstone National Park,259
Corydalis aurea,Great Smoky Mountains National Park,92
Corydalis aurea,Yosemite National Park,141
Corydalis aurea,Bryce National Park,9
Corydalis aurea,Yellowstone National Park,253
Rhus glabra,Great Smoky Mountains National Park,63
Rhus glabra,Yosemite National Park,118
Rhus glabra,Bryce National Park,70
Rhus glabra,Yellowstone National Park,238
